address,price,link,bedrooms,bathrooms,cleaned_address,Latitude,Longitude
"2240 Lake Shore Blvd W #1701, Toronto, ON M8V 0B1","C$710,000",https://www.zillow.com/homedetails/2240-Lake-Shore-Blvd-W-1701-Toronto-ON-M8V-0B1/2053363438_zpid/,--,--,"2240 Lake Shore Blvd W. , ON",43.6212424,-79.4830236
"11 Saint Joseph St N, Toronto, ON M4Y 3G4","C$532,000",https://www.zillow.com/homedetails/11-Saint-Joseph-St-N-Toronto-ON-M4Y-3G4/2068823298_zpid/,--,--,"11 Saint Joseph St N., ON",29.9438093,-90.06961959
"899 Queen St E #409, Toronto, ON M4M 0C8","C$893,000",https://www.zillow.com/homedetails/899-Queen-St-E-409-Toronto-ON-M4M-0C8/2053085401_zpid/,--,--,"899 Queen St E. , ON",43.66051509,-79.34189045
"49 E Liberty St #2508, Toronto, ON M6K 0A7","C$620,000",https://www.zillow.com/homedetails/49-E-Liberty-St-2508-Toronto-ON-M6K-0A7/2069814767_zpid/,2,1,"49 E. Liberty St , ON",43.638846,-79.412554
"91 Drayton Ave, Toronto, ON M4C 3L8",$1.22M,https://www.zillow.com/homedetails/91-Drayton-Ave-Toronto-ON-M4C-3L8/2061158114_zpid/,--,--,"91 Drayton Ave, ON",43.68164782,-79.3189335
"1 Yorkville Ave #4803, Toronto, ON M4W",$1.55M,https://www.zillow.com/homedetails/1-Yorkville-Ave-4803-Toronto-ON-M4W/2071824078_zpid/,2,2,"1 Yorkville Ave , ON",43.67160525,-79.38768444
"451A Rhodes Ave, Toronto, ON M4L 3A6","C$990,000",https://www.zillow.com/homedetails/451A-Rhodes-Ave-Toronto-ON-M4L-3A6/2055448744_zpid/,--,--,"451A Rhodes Ave, ON",43.68135309,-79.32403165
"270 Dufferin St #614, Toronto, ON M6K 0H8","C$493,000",https://www.zillow.com/homedetails/270-Dufferin-St-614-Toronto-ON-M6K-0H8/2054154579_zpid/,--,--,"270 Dufferin St , ON",43.837244,-80.846331
"54 Ormskirk Ave, Toronto, ON M6S 1A9",$1.35M,https://www.zillow.com/homedetails/54-Ormskirk-Ave-Toronto-ON-M6S-1A9/2057167290_zpid/,2,1,"54 Ormskirk Ave, ON",43.63946565,-79.47606966
"24 Oxhorn Rd, Toronto, ON M1C 3L5",$1.02M,https://www.zillow.com/homedetails/24-Oxhorn-Rd-Toronto-ON-M1C-3L5/2058231762_zpid/,--,--,"24 Oxhorn Rd, ON",43.78455725,-79.13218793
"6 Epsom Ave, Toronto, ON M4C 2A6",$1.39M,https://www.zillow.com/homedetails/6-Epsom-Ave-Toronto-ON-M4C-2A6/2057369812_zpid/,--,--,"6 Epsom Ave, ON",43.691461,-79.3085332
"133 Rochman Blvd, Toronto, ON M1H 1S3",$1.25M,https://www.zillow.com/homedetails/133-Rochman-Blvd-Toronto-ON-M1H-1S3/2077203281_zpid/,#NAME?,Not available,"133 Rochman Blvd, ON",43.7635872,-79.2292352
"191 Atlas Ave, Toronto, ON M6C 3P6",$2.79M,https://www.zillow.com/homedetails/191-Atlas-Ave-Toronto-ON-M6C-3P6/2070784083_zpid/,--,--,"191 Atlas Ave, ON",43.68723896,-79.43312279
"145 Dean Park Rd, Toronto, ON M1B 2W9","C$900,000",https://www.zillow.com/homedetails/145-Dean-Park-Rd-Toronto-ON-M1B-2W9/2076859552_zpid/,3,3,"145 Dean Park Rd, ON",43.80146149,-79.17610689
"111 Saint Clair Ave W #705, Toronto, ON M4V 1N5",$1.07M,https://www.zillow.com/homedetails/111-Saint-Clair-Ave-W-705-Toronto-ON-M4V-1N5/2058873590_zpid/,2,2,"111 Saint Clair Ave W. , ON",43.68732725,-79.39606589
"16 Bonnycastle St #1801, Toronto, ON M5A 0C9","C$815,000",https://www.zillow.com/homedetails/16-Bonnycastle-St-1801-Toronto-ON-M5A-0C9/2080755774_zpid/,1,1,"16 Bonnycastle St , ON",43.64588566,-79.36443497
"314 Rumsey Rd, Toronto, ON M4G 1R5",$4.00M,https://www.zillow.com/homedetails/314-Rumsey-Rd-Toronto-ON-M4G-1R5/2058437766_zpid/,--,--,"314 Rumsey Rd, ON",43.71580107,-79.37105745
"25 Rockcastle Dr, Toronto, ON M9R 2V2",$1.63M,https://www.zillow.com/homedetails/25-Rockcastle-Dr-Toronto-ON-M9R-2V2/2058474807_zpid/,3,2,"25 Rockcastle Dr, ON",43.68386943,-79.54834674
"127 Hillhurst Blvd, Toronto, ON M5N 1N7",$2.41M,https://www.zillow.com/homedetails/127-Hillhurst-Blvd-Toronto-ON-M5N-1N7/2058415014_zpid/,--,--,"127 Hillhurst Blvd, ON",43.7108245,-79.4173164
"99 Southvale Dr, Toronto, ON M4G 1G4",$1.53M,https://www.zillow.com/homedetails/99-Southvale-Dr-Toronto-ON-M4G-1G4/2058448057_zpid/,--,--,"99 Southvale Dr, ON",43.69911356,-79.36498567
"194 Pickering St, Toronto, ON M4E 3J8",$1.07M,https://www.zillow.com/homedetails/194-Pickering-St-Toronto-ON-M4E-3J8/2058821200_zpid/,3,2,"194 Pickering St, ON",43.68448547,-79.29179565
"141 Kingsmount Park Rd, Toronto, ON M4L 3L6",$1.35M,https://www.zillow.com/homedetails/141-Kingsmount-Park-Rd-Toronto-ON-M4L-3L6/2062602696_zpid/,--,--,"141 Kingsmount Park Rd, ON",43.679759,-79.3124827
"210 Victoria St #3201, Toronto, ON M5B 2R3","C$865,000",https://www.zillow.com/homedetails/210-Victoria-St-3201-Toronto-ON-M5B-2R3/2066646999_zpid/,2,2,"210 Victoria St , ON",43.25596674,-79.07416123
"34 Durrington Cres, Toronto, ON M1P 4G5",$1.21M,https://www.zillow.com/homedetails/34-Durrington-Cres-Toronto-ON-M1P-4G5/2058405900_zpid/,--,--,"34 Durrington Cres, ON",43.76478497,-79.24970854
"85 Mortimer Ave, Toronto, ON M4K 2A2",$1.28M,https://www.zillow.com/homedetails/85-Mortimer-Ave-Toronto-ON-M4K-2A2/2058437424_zpid/,--,--,"85 Mortimer Ave, ON",43.68456615,-79.35261325
