Ward,Composite Index,Composite Benchmark,Composite Yr./Yr. Change%,Single-Family Detached Index,Single-Family Detached Benchmark,Single-Family Detached Yr./Yr. Change%,Single-Family Attached Index,Single-Family Attached Benchmark,Single-Family Attached Yr./Yr. Change%,Townhouse Index,Townhouse Benchmark,Townhouse Yr./Yr. Change%,Apartment Index,Apartment Benchmark,Apartment Yr./Yr. Change%,Year,Month,Date/Time
Toronto C04,250.0,"$1,542,800",1.21%,253.9,"$1,788,900",1.36%,250.4,"$1,172,300",-0.71%,0.0,$0,-100.00%,232.9,"$538,700",2.55%,2019,February,2019-02-01
Toronto C06,269.3,"$1,048,700",-0.63%,249.1,"$1,064,000",-6.00%,210.6,"$779,100",-6.98%,245.4,"$658,200",6.00%,290.0,"$641,300",3.42%,2019,February,2019-02-01
Toronto C07,255.4,"$883,600",1.19%,279.2,"$1,277,200",-5.80%,201.8,"$722,100",-5.70%,242.7,"$684,100",5.71%,246.0,"$600,700",7.05%,2019,February,2019-02-01
Toronto C08,275.2,"$719,600",10.39%,277.8,"$1,620,800",11.52%,276.5,"$1,319,000",12.54%,301.4,"$779,400",15.75%,274.1,"$592,500",10.08%,2019,February,2019-02-01
Toronto C09,180.0,"$1,274,100",3.93%,129.8,"$1,630,500",-6.21%,145.0,"$1,179,900",-4.35%,287.4,"$1,574,100",3.79%,206.0,"$682,500",6.96%,2019,February,2019-02-01
Toronto C10,277.1,"$1,081,800",8.50%,268.8,"$1,659,600",7.74%,257.2,"$1,270,600",7.75%,270.8,"$790,400",5.78%,283.6,"$677,200",8.78%,2019,February,2019-02-01
Toronto C11,263.1,"$931,000",6.26%,198.7,"$1,353,500",-3.07%,227.9,"$1,009,100",-2.57%,237.3,"$411,100",5.33%,311.6,"$452,400",10.46%,2019,February,2019-02-01
Toronto C12,221.3,"$1,888,100",1.00%,203.7,"$2,183,200",1.19%,255.2,"$1,068,200",-1.88%,207.1,"$828,600",-4.16%,278.7,"$873,800",3.88%,2019,February,2019-02-01
Toronto C13,245.1,"$887,500",1.11%,247.2,"$1,318,300",-3.74%,224.7,"$717,000",-2.30%,243.6,"$704,200",-0.45%,243.9,"$491,100",6.69%,2019,February,2019-02-01
Toronto C14,268.3,"$877,300",3.39%,263.9,"$1,427,700",-9.84%,218.3,"$1,063,000",-6.23%,308.6,"$831,100",0.49%,265.8,"$669,400",8.40%,2019,February,2019-02-01
Toronto C15,240.4,"$780,200",-1.76%,268.4,"$1,260,200",-11.21%,218.8,"$711,300",-12.37%,284.3,"$680,500",4.83%,223.7,"$520,200",4.44%,2019,February,2019-02-01
Toronto E01,338.6,"$1,057,500",9.44%,325.5,"$1,148,600",6.65%,337.8,"$1,065,600",8.23%,403.6,"$738,200",11.18%,325.9,"$773,000",13.87%,2019,February,2019-02-01
Toronto E02,286.5,"$1,072,900",5.37%,246.6,"$1,123,600",4.40%,301.0,"$1,008,000",5.54%,339.6,"$978,100",12.34%,263.7,"$721,000",4.23%,2019,February,2019-02-01
Toronto E03,265.3,"$816,100",5.07%,272.4,"$918,400",4.41%,254.2,"$832,400",3.97%,-,-,-,250.2,"$365,500",12.35%,2019,February,2019-02-01
Toronto E04,259.2,"$640,200",3.27%,240.4,"$708,800",0.08%,243.2,"$586,000",-3.87%,253.6,"$549,800",7.37%,299.6,"$459,700",8.24%,2019,February,2019-02-01
Toronto E05,245.1,"$643,100",0.53%,247.0,"$869,900",-2.10%,239.3,"$659,400",-1.77%,249.0,"$541,500",0.12%,242.2,"$475,700",4.62%,2019,February,2019-02-01
Toronto E06,268.2,"$747,900",8.54%,269.8,"$770,600",8.92%,268.5,"$638,700",8.88%,0.0,$0,-100.00%,255.7,"$540,700",6.76%,2019,February,2019-02-01
Toronto E07,259.0,"$634,900",1.57%,265.2,"$869,200",0.49%,255.2,"$667,300",0.43%,259.6,"$562,400",2.29%,255.4,"$437,400",3.23%,2019,February,2019-02-01
Toronto E08,271.6,"$655,400",9.30%,256.9,"$800,800",6.86%,227.1,"$588,700",7.58%,271.6,"$554,400",9.25%,299.4,"$477,700",13.07%,2019,February,2019-02-01
Toronto E09,251.1,"$600,400",5.11%,242.4,"$688,300",1.98%,227.2,"$555,700",-0.74%,283.8,"$527,400",5.70%,256.1,"$480,400",8.33%,2019,February,2019-02-01
Toronto E10,256.8,"$719,800",3.17%,243.2,"$779,300",1.00%,235.7,"$611,200",4.52%,308.4,"$538,400",5.33%,271.0,"$436,900",14.78%,2019,February,2019-02-01
Toronto E11,263.6,"$576,600",3.82%,270.0,"$751,000",2.66%,261.0,"$591,100",2.43%,201.1,"$394,700",-0.49%,304.5,"$454,500",8.91%,2019,February,2019-02-01
TREB Total,253.1,"$767,800",2.35%,245.7,"$907,200",-0.57%,254.0,"$714,100",1.36%,260.3,"$574,700",4.45%,258.8,"$516,500",7.92%,2019,February,2019-02-01
City of Toronto,262.9,"$852,400",5.50%,249.8,"$1,096,100",0.56%,265.3,"$884,400",3.51%,267.1,"$635,800",6.03%,267.3,"$549,000",8.70%,2019,February,2019-02-01
Toronto W01,244.2,"$984,200",8.53%,231.4,"$1,207,500",5.71%,247.9,"$955,900",4.56%,254.9,"$539,500",9.21%,246.3,"$556,900",10.10%,2019,February,2019-02-01
Toronto W02,278.1,"$989,700",5.50%,261.9,"$1,107,900",2.46%,309.7,"$949,200",5.56%,273.7,"$644,900",9.57%,272.6,"$585,200",8.61%,2019,February,2019-02-01
Toronto W03,284.4,"$732,000",6.20%,286.1,"$777,800",5.53%,281.8,"$721,800",6.99%,268.1,"$546,900",8.54%,272.9,"$466,300",7.40%,2019,February,2019-02-01
Toronto W04,256.6,"$656,900",6.12%,253.5,"$798,400",3.47%,247.5,"$715,700",6.27%,227.4,"$537,400",5.33%,265.2,"$388,400",10.22%,2019,February,2019-02-01
Toronto W05,244.9,"$581,300",4.93%,248.2,"$823,200",3.76%,226.9,"$662,500",3.37%,240.2,"$436,200",7.33%,263.0,"$345,600",5.37%,2019,February,2019-02-01
Toronto W06,208.1,"$609,500",5.31%,262.7,"$838,800",1.27%,209.9,"$636,100",0.38%,290.5,"$864,000",13.21%,178.9,"$453,300",7.64%,2019,February,2019-02-01
Toronto W07,225.5,"$966,700",2.27%,238.9,"$1,035,400",2.05%,206.3,"$845,900",0.93%,-,-,-,151.3,"$613,500",4.27%,2019,February,2019-02-01
Toronto W08,217.9,"$868,700",6.19%,203.2,"$1,062,200",-0.78%,197.3,"$730,900",-1.89%,253.2,"$609,000",19.21%,227.6,"$473,900",10.81%,2019,February,2019-02-01
Toronto W09,235.4,"$592,600",6.08%,217.4,"$810,700",-1.36%,194.4,"$559,000",-1.72%,271.2,"$705,600",7.96%,251.9,"$323,000",15.87%,2019,February,2019-02-01
Toronto W10,242.7,"$559,000",3.98%,240.3,"$720,900",0.50%,245.7,"$628,800",1.49%,224.2,"$477,500",3.60%,248.5,"$345,200",7.53%,2019,February,2019-02-01
Toronto C01,302.6,"$747,700",9.28%,298.5,"$1,130,500",5.14%,284.3,"$995,200",3.12%,281.2,"$802,200",6.47%,304.1,"$633,100",9.98%,2019,February,2019-02-01
Toronto C02,263.5,"$1,262,800",6.90%,221.2,"$1,767,300",-0.41%,259.2,"$1,359,400",3.10%,270.0,"$1,205,700",3.65%,270.2,"$769,800",10.78%,2019,February,2019-02-01
Toronto C03,292.1,"$1,525,600",2.20%,267.9,"$1,646,400",1.02%,288.4,"$1,069,400",2.71%,-,-,-,332.5,"$869,800",2.59%,2019,February,2019-02-01
Toronto C04,250.0,"$1,542,800",1.21%,253.9,"$1,788,900",1.36%,250.4,"$1,172,300",-0.71%,0.0,$0,-100.00%,232.9,"$538,700",2.55%,2019,February,2019-02-01
Toronto C06,269.3,"$1,048,700",-0.63%,249.1,"$1,064,000",-6.00%,210.6,"$779,100",-6.98%,245.4,"$658,200",6.00%,290.0,"$641,300",3.42%,2019,February,2019-02-01
Toronto C07,255.4,"$883,600",1.19%,279.2,"$1,277,200",-5.80%,201.8,"$722,100",-5.70%,242.7,"$684,100",5.71%,246.0,"$600,700",7.05%,2019,February,2019-02-01
Toronto C04,247.7,"$1,528,600",2.23%,248.7,"$1,752,200",2.90%,251.9,"$1,179,300",3.92%,0.0,$0,-100.00%,237.4,"$549,100",0.68%,2019,April,2019-04-01
Toronto C06,280.9,"$1,093,900",6.36%,258.8,"$1,105,400",0.62%,223.4,"$826,400",5.58%,246.7,"$661,600",-2.18%,303.7,"$671,600",11.20%,2019,April,2019-04-01
Toronto C07,258.4,"$894,000",0.82%,284.2,"$1,300,100",-2.87%,202.2,"$723,500",-4.35%,244.2,"$688,300",-1.77%,248.6,"$607,100",4.41%,2019,April,2019-04-01
Toronto C08,280.6,"$733,800",6.85%,290.3,"$1,693,700",9.14%,286.1,"$1,364,800",9.32%,291.5,"$753,800",8.24%,279.8,"$604,800",6.71%,2019,April,2019-04-01
Toronto C09,193.5,"$1,369,700",8.40%,140.7,"$1,767,400",0.36%,156.4,"$1,272,700",0.39%,301.8,"$1,653,000",0.50%,221.0,"$732,200",11.11%,2019,April,2019-04-01
Toronto C10,279.4,"$1,090,800",4.80%,262.4,"$1,620,000",6.23%,251.3,"$1,241,400",5.72%,284.8,"$831,300",4.63%,288.6,"$689,200",3.74%,2019,April,2019-04-01
Toronto C11,276.4,"$978,100",6.31%,214.0,"$1,457,800",0.85%,245.2,"$1,085,700",3.37%,229.6,"$397,700",9.02%,324.2,"$470,700",7.56%,2019,April,2019-04-01
Toronto C12,222.2,"$1,895,800",1.93%,205.5,"$2,202,500",2.96%,263.9,"$1,104,600",3.49%,198.3,"$793,400",-3.78%,280.5,"$879,500",1.59%,2019,April,2019-04-01
Toronto C13,251.1,"$909,200",4.02%,251.2,"$1,339,600",0.00%,224.9,"$717,600",-0.49%,228.7,"$661,200",-1.72%,253.7,"$510,900",8.84%,2019,April,2019-04-01
Toronto C14,269.1,"$879,900",0.86%,261.9,"$1,416,800",-11.19%,208.6,"$1,015,800",-11.57%,292.3,"$787,200",-5.25%,268.9,"$677,200",5.37%,2019,April,2019-04-01
Toronto C15,245.1,"$795,400",-0.97%,279.5,"$1,312,300",-7.33%,229.2,"$745,100",-7.69%,272.1,"$651,300",-0.44%,230.0,"$534,800",4.31%,2019,April,2019-04-01
Toronto E01,347.6,"$1,085,600",6.46%,336.3,"$1,186,700",4.96%,345.4,"$1,089,600",5.21%,400.1,"$731,800",7.12%,342.7,"$812,900",10.66%,2019,April,2019-04-01
Toronto E02,292.8,"$1,096,500",4.53%,254.9,"$1,161,400",4.04%,306.1,"$1,025,100",3.45%,330.4,"$951,600",9.95%,272.1,"$743,900",7.13%,2019,April,2019-04-01
Toronto E03,273.9,"$842,600",2.78%,281.6,"$949,400",1.73%,259.2,"$848,800",0.50%,-,-,-,261.7,"$382,300",13.49%,2019,April,2019-04-01
Toronto E04,270.7,"$668,600",6.12%,251.2,"$740,600",2.91%,259.8,"$626,000",1.88%,250.6,"$543,200",6.46%,313.9,"$481,600",11.27%,2019,April,2019-04-01
Toronto E05,246.5,"$646,800",1.65%,255.1,"$898,400",1.51%,245.6,"$676,700",2.04%,251.8,"$547,600",2.40%,235.9,"$463,400",2.03%,2019,April,2019-04-01
Toronto E06,270.3,"$753,800",2.70%,270.7,"$773,100",1.96%,266.7,"$634,400",-1.84%,0.0,$0,-100.00%,262.7,"$555,600",7.89%,2019,April,2019-04-01
