Location Name,Address
Fred Victor,139 Jarvis St.
Moss Park CTS,134 Sherbourne St.
Parkdale Queen West Community Health Centre,168 Bathurst St.
Parkdale Queen West Community Health Centre,1229 Queen St. W.
"Regent Park Bevel Up CTS Site, Regent Park Community Health Centre",465 Dundas St. E.
South Riverdale Community Health Centre,955 Queen St. E.
Street Health,338 Dundas St. E.
Kensington Market Overdose Prevention Service,260 Augusta
Toronto Public Health,277 Victoria St.
Casey House,119 Isabella St.
