address,price,link,bedrooms,bathrooms
"2240 Lake Shore Blvd W #1701, Toronto, ON M8V 0B1","C$710,000",https://www.zillow.com/homedetails/2240-Lake-Shore-Blvd-W-1701-Toronto-ON-M8V-0B1/2053363438_zpid/,--,--
"11 Saint Joseph St N, Toronto, ON M4Y 3G4","C$532,000",https://www.zillow.com/homedetails/11-Saint-Joseph-St-N-Toronto-ON-M4Y-3G4/2068823298_zpid/,--,--
"899 Queen St E #409, Toronto, ON M4M 0C8","C$893,000",https://www.zillow.com/homedetails/899-Queen-St-E-409-Toronto-ON-M4M-0C8/2053085401_zpid/,--,--
"49 E Liberty St #2508, Toronto, ON M6K 0A7","C$620,000",https://www.zillow.com/homedetails/49-E-Liberty-St-2508-Toronto-ON-M6K-0A7/2069814767_zpid/,2,1
"91 Drayton Ave, Toronto, ON M4C 3L8",$1.22M,https://www.zillow.com/homedetails/91-Drayton-Ave-Toronto-ON-M4C-3L8/2061158114_zpid/,--,--
"1 Yorkville Ave #4803, Toronto, ON M4W",$1.55M,https://www.zillow.com/homedetails/1-Yorkville-Ave-4803-Toronto-ON-M4W/2071824078_zpid/,2,2
"451A Rhodes Ave, Toronto, ON M4L 3A6","C$990,000",https://www.zillow.com/homedetails/451A-Rhodes-Ave-Toronto-ON-M4L-3A6/2055448744_zpid/,--,--
"270 Dufferin St #614, Toronto, ON M6K 0H8","C$493,000",https://www.zillow.com/homedetails/270-Dufferin-St-614-Toronto-ON-M6K-0H8/2054154579_zpid/,--,--
"54 Ormskirk Ave, Toronto, ON M6S 1A9",$1.35M,https://www.zillow.com/homedetails/54-Ormskirk-Ave-Toronto-ON-M6S-1A9/2057167290_zpid/,2,1
"24 Oxhorn Rd, Toronto, ON M1C 3L5",$1.02M,https://www.zillow.com/homedetails/24-Oxhorn-Rd-Toronto-ON-M1C-3L5/2058231762_zpid/,--,--
"6 Epsom Ave, Toronto, ON M4C 2A6",$1.39M,https://www.zillow.com/homedetails/6-Epsom-Ave-Toronto-ON-M4C-2A6/2057369812_zpid/,--,--
"133 Rochman Blvd, Toronto, ON M1H 1S3",$1.25M,https://www.zillow.com/homedetails/133-Rochman-Blvd-Toronto-ON-M1H-1S3/2077203281_zpid/,-- sqft lot,Not available
"191 Atlas Ave, Toronto, ON M6C 3P6",$2.79M,https://www.zillow.com/homedetails/191-Atlas-Ave-Toronto-ON-M6C-3P6/2070784083_zpid/,--,--
